년,월,일,시,분,항목,종로구,중구,용산구,은평구,서대문구,마포구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,최대,최소,평균
2001,1,29,,,PM2.5,*0,*0,*0,*0,*0,*0,43,40,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,43,40,41
2001,1,30,,,PM2.5,*0,*0,*0,*0,*0,*0,79,79,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,79,79,79
2001,1,31,,,PM2.5,*0,*0,*0,*0,*0,*0,92,93,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,93,92,93
2001,2,1,,,PM2.5,*0,*0,*0,*0,*0,*0,55,53,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,55,53,54
2001,2,2,,,PM2.5,*0,*0,*0,*0,*0,*0,50,52,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,52,50,51
2001,2,3,,,PM2.5,*0,*0,*0,*0,*0,*0,85,80,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,85,80,83
2001,2,4,,,PM2.5,*0,*0,*0,*0,*0,*0,101,97,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,101,97,99
2001,2,5,,,PM2.5,*0,*0,*0,*0,*0,*0,110,119,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,119,110,114
2001,2,6,,,PM2.5,*0,*0,*0,*0,*0,*0,96,103,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,103,96,100
2001,2,7,,,PM2.5,*0,*0,*0,*0,*0,*0,*72,65,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,65,65,68
2001,2,8,,,PM2.5,*0,*0,*0,*0,*0,*0,29,35,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,35,29,32
2001,2,9,,,PM2.5,*0,*0,*0,*0,*0,*0,64,64,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,64,64,64
2001,2,10,,,PM2.5,*0,*0,*0,*0,*0,*0,41,53,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,53,41,47
2001,2,11,,,PM2.5,*0,*0,*0,*0,*0,*0,26,22,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,26,22,24
2001,2,12,,,PM2.5,*0,*0,*0,*0,*0,*0,28,28,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,28,28,28
2001,2,13,,,PM2.5,*0,*0,*0,*0,*0,*0,34,31,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,34,31,33
2001,2,14,,,PM2.5,*0,*0,*0,*0,*0,*0,42,39,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,42,39,40
2001,2,15,,,PM2.5,*0,*0,*0,*0,*0,*0,64,70,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,70,64,67
2001,2,16,,,PM2.5,*0,*0,*0,*0,*0,*0,*38,46,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,46,46,42
2001,2,17,,,PM2.5,*0,*0,*0,*0,*0,*0,45,46,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,46,45,46
2001,2,18,,,PM2.5,*0,*0,*0,*0,*0,*0,57,62,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,62,57,60
2001,2,19,,,PM2.5,*0,*0,*0,*0,*0,*0,75,79,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,79,75,77
2001,2,20,,,PM2.5,*0,*0,*0,*0,*0,*0,137,130,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,137,130,133
2001,2,21,,,PM2.5,*0,*0,*0,*0,*0,*0,92,111,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,111,92,102
2001,2,22,,,PM2.5,*0,*0,*0,*0,*0,*0,100,108,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,108,100,104
2001,2,23,,,PM2.5,*0,*0,*0,*0,*0,*0,101,114,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,114,101,108
2001,2,24,,,PM2.5,*0,*0,*0,*0,*0,*0,*23,13,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,13,13,17
2001,2,25,,,PM2.5,*0,*0,*0,*0,*0,*0,31,31,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,31,31,31
2001,2,26,,,PM2.5,*0,*0,*0,*0,*0,*0,63,60,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,63,60,62
2001,2,27,,,PM2.5,*0,*0,*0,*0,*0,*0,*100,69,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,69,69,80
2001,2,28,,,PM2.5,*0,*0,*0,*0,*0,*0,*60,36,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,36,36,45
2001,3,1,,,PM2.5,*0,*0,*0,*0,*0,*0,72,*66,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,72,72,69
2001,3,2,,,PM2.5,*0,*0,*0,*0,*0,*0,*143,91,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,91,91,111
2001,3,3,,,PM2.5,*0,*0,*0,*0,*0,*0,192,120,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,192,120,155
2001,3,4,,,PM2.5,*0,*0,*0,*0,*0,*0,65,41,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,65,41,52
2001,3,5,,,PM2.5,*0,*0,*0,*0,*0,*0,58,39,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,58,39,48
2001,3,6,,,PM2.5,*0,*0,*0,*0,*0,*0,96,78,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,96,78,86
2001,3,7,,,PM2.5,*0,*0,*0,*0,*0,*0,60,52,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,60,52,56
2001,3,8,,,PM2.5,*0,*0,*0,*0,*0,*0,34,27,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,34,27,30
2001,3,9,,,PM2.5,*0,*0,*0,*0,*0,*0,32,28,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,32,28,30
2001,3,10,,,PM2.5,*0,*0,*0,*0,*0,*0,46,34,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,46,34,39
2001,3,11,,,PM2.5,*0,*0,*0,*0,*0,*0,42,39,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,42,39,40
2001,3,12,,,PM2.5,*0,*0,*0,*0,*0,*0,*40,37,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,37,37,38
2001,3,13,,,PM2.5,*0,*0,*0,*0,*0,*0,60,54,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,60,54,56
2001,3,14,,,PM2.5,*0,*0,*0,*0,*0,*0,67,59,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,67,59,63
2001,3,15,,,PM2.5,*0,*0,*0,*0,*0,*0,*26,27,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,27,27,27
2001,3,16,,,PM2.5,*0,*0,*0,*0,*0,*0,*40,42,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,42,42,41
2001,3,17,,,PM2.5,*0,*0,*0,*0,*0,*0,*85,65,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,65,65,73
2001,3,18,,,PM2.5,*0,*0,*0,*0,*0,*0,91,75,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,91,75,83
2001,3,19,,,PM2.5,*0,*0,*0,*0,*0,*0,164,153,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,164,153,158
2001,3,20,,,PM2.5,*0,*0,*0,*0,*0,*0,107,108,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,108,107,108
2001,3,21,,,PM2.5,*0,*0,*0,*0,*0,*0,66,66,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,66,66,66
2001,3,22,,,PM2.5,*0,*0,*0,*0,*0,*0,116,122,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,122,116,119
2001,3,23,,,PM2.5,*0,*0,*0,*0,*0,*0,80,76,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,80,76,78
2001,3,24,,,PM2.5,*0,*0,*0,*0,*0,*0,75,67,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,75,67,71
2001,3,25,,,PM2.5,*0,*0,*0,*0,*0,*0,70,60,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,70,60,65
2001,3,26,,,PM2.5,*0,*0,*0,*0,*0,*0,31,30,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,31,30,30
